,Hotel_Name,Review,Total_Review,Rating,Location
188,UES 1BR w Gym Doorman nr Carl Schurz Park NYC-653,Good ,234.00,7.00,New York
189,Hotel Richland LES,,114.00,8.40,Chinatown 
190,Selina Chelsea,,2620.00,6.40,Chelsea 
191,Moxy NYC Lower East Side,,2412.00,9.00,Lower East Side 
192,"Holiday Inn Express - Times Square, an IHG Hotel",,754.00,7.80,Hell's Kitchen 
193,LUMA Hotel - Times Square,,1105.00,8.50,Manhattan 
194,Courtyard New York Manhattan/Upper East Side,,94.00,8.90,Upper East Side 
195,Renaissance New York Midtown Hotel,,1097.00,8.40,Manhattan 
196,Kips Bay 1BR wElevator WD nr 6 train NYC-903,,2446.00,7.90,Kips Bay 
197,Four Seasons Hotel New York Downtown,,,,Tribeca 
198,Hilton Club The Quin New York,,,,Manhattan 
199,Arlo SoHo,,,,SoHo 
200,Lex Hotel NYC,Very good ,665.00,8.10,Kips Bay 
201,Carlton Arms Hotel,Good ,1169.00,7.50,Gramercy 
202,Cambria Hotel New York - Chelsea,Very good ,2717.00,8.00,Chelsea 
203,Canal Loft Hotel,Good ,988.00,7.00,Chinatown 
204,MADE Hotel,Fabulous ,1046.00,8.60,NoMad 
205,Hotel 48LEX New York,Good ,321.00,7.20,Midtown East 
206,Hotel 31 Extended Stay,Very good ,317.00,8.00,NoMad 
207,Casablanca Hotel by Library Hotel Collection,Superb ,108.00,9.20,Manhattan 
208,Hilton Club West 57th Street New York,Fabulous ,76.00,8.60,Manhattan 
209,Da Vinci Hotel,Good ,721.00,7.30,Manhattan 
210,Hotel AKA NoMad,Very good ,1420.00,8.50,NoMad 
211,Midtown E 1BR w DM Gym near Bloomingdales NYC-710,Good ,1519.00,7.70,Midtown East 
212,Renaissance New York Times Square Hotel,Very good ,49.00,8.20,Manhattan 
213,Hotel Boutique at Grand Central,Very good ,407.00,8.40,Midtown East 
214,New York EDITION,Good ,193.00,7.80,Flatiron District 
215,Residence Inn by Marriott New York Manhattan/ Midtown Eastside,Very good ,4092.00,8.50,Midtown East 
216,W New York - Union Square,Very good ,965.00,8.50,Union Square 
217,Radio City Apartments,Superb ,307.00,9.00,Manhattan 
218,The Moore,Fabulous ,2317.00,8.60,Chelsea 
219,Equinox Hotel Hudson Yards New York City,Review score ,2982.00,6.00,Hudson Yards 
220,Graduate New York,Good ,3832.00,7.90,New York
221,Night Hotel Broadway,Good ,269.00,7.50,Upper West Side 
222,Aliz Hotel Times Square,Very good ,1834.00,8.40,Hell's Kitchen 
223,"Distrikt Hotel New York City, Tapestry Collection by Hilton",,,,Hell's Kitchen 
224,Park Lane New York,,,,Manhattan 
225,The Flat NYC,Very good ,707.00,8.00,Flatiron District 
226,Airy Midtown E 1BR w Doorman nr UN NYC-894,Review score ,425.00,6.80,New York
227,"Holiday Inn Wall Street, an IHG Hotel",Very good ,390.00,8.20,Wall Street - Financial District 
228,Fitzpatrick Manhattan,Good ,985.00,7.80,Midtown East 
229,Sohotel,Very good ,693.00,8.40,SoHo 
230,ASIATEL HOTEL,Review score ,1218.00,5.70,New York
231,Hyatt Centric Times Square New York,Very good ,113.00,8.30,Manhattan 
232,Midtown Convention Center Hotel NYC,Very good ,1122.00,8.20,Hudson Yards 
233,SoHo 2BR w WD Balcony nr Whole Foods NYC-892,Review score ,966.00,5.60,New York
234,Hilton Club New York,Good ,711.00,7.20,Manhattan 
235,The Renwick,Good ,1220.00,7.90,Murray Hill 
236,Hudson River Hotel,Very good ,13.00,8.00,Hudson Yards 
237,Americana Inn,Very good ,390.00,8.50,Manhattan 
238,The Shelburne Sonesta New York,Good ,2533.00,7.80,Murray Hill 
239,Entire Apartment near Central Park,Superb ,233.00,9.20,Hell's Kitchen 
240,"EVEN Hotel New York Times Square South, an IHG Hotel",Superb ,14.00,9.30,Hell's Kitchen 
241,Courtyard by Marriott New York World Trade Center Area,Good ,553.00,7.50,Wall Street - Financial District 
242,Soul Food (Mont Morris),Good ,601.00,7.90,Harlem 
243,UES 1BR w Elevator nr Bloomingdales NYC-639,Very good ,532.00,8.30,Upper East Side 
244,Hotel Barrière Fouquet's New York,,,,Tribeca 
245,Sofitel New York,,,,Manhattan 
246,Sleek Nolita 1BR w wd nr Soho NYC-891,,,,SoHo 
247,Moderne Hotel,,,,Manhattan 
248,The Gardens Sonesta ES Suites New York,,,,Upper East Side 
249,Tempo By Hilton New York Times Square,,,,Manhattan 
250,UES studio w elevator doorman nr Central Park NYC-1038,Superb 9.0,65 external  ,8.30,New York
251,Roomy Midtown W 1BR w Gym nr Times Sq NYC-633,Very good ,1592.00,6.40,Manhattan 
252,Nap York Central Park Sleep Station,Review score ,855.00,8.40,Manhattan 
253,The Gatsby Hotel,Very good ,400.00,6.40,Lower East Side 
254,UES 2br w elevator doorman gym nr Central Park NYC-1071,Review score ,386.00,6.40,East Harlem 
255,Sutton Place 1br w doorman gym nr Sutton Park NYC-1013,Review score ,1092.00,8.30,Midtown East 
256,Hotel Mulberry,Very good ,259.00,8.20,Chinatown 
257,Doxie Hotel,Very good ,411.00,8.50,Manhattan 
258,Mondrian Park Avenue,Very good ,865.00,8.20,NoMad 
259,UES 1BR w DM Elevator Gym Coworking Spaces NYC-588,Very good ,3471.00,8.20,Upper East Side 
260,Midtown 1BR w Gym Doorman nr Central Park NYC-510,Very good ,723.00,8.10,New York
261,West Village studio w courtyard nr NYU NYC-1016,Very good ,525.00,8.90,Greenwich Village 
262,KAMA CENTRAL PARK,Fabulous ,943.00,8.10,Upper West Side 
263,Fitzpatrick Grand Central,Very good ,1500.00,8.40,Midtown East 
264,Pestana Park Avenue,Very good ,325.00,8.80,Murray Hill 
265,The Washington by LuxUrban,Fabulous ,1708.00,8.40,Wall Street - Financial District 
266,The Marlton Hotel,Very good ,230.00,8.30,Greenwich Village 
267,The Standard - East Village,Very good ,227.00,8.50,East Village 
268,The Ludlow Hotel,Very good ,1778.00,9.10,Lower East Side 
269,Pestana CR7 Times Square,Superb ,53.00,7.90,Hell's Kitchen 
270,The Plaza,Good ,4288.00,3.80,Manhattan 
271,FiDi Studio w Residents Bar Golf Simulator Gym NYC-271,Review score ,787.00,10.00,New York
272,Margaritaville Resort Times Square,Exceptional ,1 review,8.10,Manhattan 
273,Northern Lights Mansion,Very good ,355.00,6.90,Harlem 
274,Club Wyndham Midtown 45,Review score ,377.00,8.60,Midtown East 
275,Henn na Hotel New York,Fabulous ,1251.00,8.40,Manhattan 
276,Fully Furnished Entire Floor Apartment in Historic Harlem,Very good ,128.00,7.70,Harlem 
277,Embassy Suites By Hilton New York Manhattan Times Square,Good ,258.00,6.60,Manhattan 
278,Bowery Grand Hotel,Review score ,125.00,7.40,Lower East Side 
279,Unique 2BD At Columbus Avenue,Good ,699.00,7.20,Upper West Side 
280,Kips Bay 1BR w Gym Doorman Parking Garage NYC-594,Good ,400.00,9.10,Kips Bay 
281,Cozy Nolita 2 Bedroom apartment,Superb ,285.00,6.30,SoHo 
282,Edge Hotel Washington Heights,Review score ,109.00,8.80,Washington Heights 
283,Redford Hotel,Fabulous ,30.00,8.20,Lower East Side 
284,Carnegie Hotel,Very good ,1754.00,9.00,Manhattan 
285,Kixby,Superb ,437.00,7.70,Manhattan 
286,Hyatt Union Square New York,Good ,60.00,8.70,Union Square 
287,West 30th Street Guest House,Fabulous ,200.00,9.00,Chelsea 
288,Madison LES Hotel,Superb ,2.00,7.10,Lower East Side 
289,Hotel Five44,Good ,453.00,6.90,Hell's Kitchen 
290,Cozy Studio in NYC,Review score ,769.00,7.00,Upper West Side 
291,"The Langham , Fifth Avenue",Good ,2.00,8.20,Manhattan 
292,Casamia 36 Hotel,Very good ,465.00,9.50,Hudson Yards 
293,Collective Governors Island,Exceptional ,13.00,7.20,Governors Island 
294,Moxy NYC East Village,Good ,6.00,8.50,East Village 
295,The Kimberly Hotel,Very good ,524.00,8.70,Midtown East 
296,The Historic Blue Moon Hotel - NYC,Fabulous ,434.00,8.70,Lower East Side 
297,Baccarat Hotel and Residences New York,Fabulous ,553.00,9.30,Manhattan 
298,UES apartment,Superb ,114.00,8.00,Upper East Side 
299,"Le Meridien New York, Central Park by Marriott",Very good ,372.00,7.90,Manhattan 
300,Hotel 32 32,Good ,817.00,8.40,Manhattan 
301,Antique Victorian 2 Bedroom best Location,Very good ,472.00,8.50,Lower East Side 
302,"Kimpton Hotel Eventi, an IHG Hotel",Very good ,314.00,7.70,Chelsea 
303,Nine Orchard,Good ,168.00,8.50,Chinatown 
304,"Le Méridien New York, Fifth Avenue",Very good ,1085.00,5.30,NoMad 
305,1 Hotel Central Park,Review score ,1195.00,7.40,Manhattan 
306,Merrion Row Hotel and Public House,Good ,1118.00,8.70,Manhattan 
307,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",Fabulous ,1471.00,7.20,Midtown East 
308,West 119th B&B,Good ,416.00,7.90,Harlem 
309,Fairfield Inn & Suites New York Manhattan/Downtown East,Good ,173.00,7.90,Chinatown 
310,The Fifty Sonesta Select New York,Good ,352.00,8.40,Midtown East 
311,109-1 Huge 3BR Best Value Amazing NYC Apt,Very good ,385.00,7.60,East Harlem 
312,454-3W PRIME location 2BR Newly Furnished sleeps 5,Good ,1482.00,8.70,Hell's Kitchen 
313,"The Pierre, A Taj Hotel ",Exceptional 10,22 external  ,8.50,Upper East Side 
314,Smyth Tribeca,Fabulous ,241.00,9.40,Tribeca 
315,Sonder Henri on 24,Very good ,497.00,7.30,Flatiron District 
316,Hotel Lucerne,Superb ,192.00,8.70,Upper West Side 
317,Jazz on the Park Youth Hostel,Good ,117.00,8.00,Upper West Side 
318,Hampton Inn Madison Square Garden,Fabulous ,59.00,8.20,Chelsea 
319,Hotel Beacon,Very good ,2.00,10.00,Upper West Side 
320,The Central Park North,Very good ,79.00,9.00,Harlem 
321,809-2B New bldg Jr columbus circle Balcony WD,Exceptional ,1 review,8.30,Hell's Kitchen 
322,Kasa The Duffy Times Square,Superb ,3.00,6.50,Hell's Kitchen 
323,"The Lexington Hotel, Autograph Collection",Superb 9.0,3 external  ,7.80,Midtown East 
324,Hotel Mimosa,Very good ,379.00,7.60,Chinatown 
325,Royalton New York,Review score ,42.00,8.80,Manhattan 
326,Corporate Suites on Upper East Side,Good ,255.00,8.40,Upper East Side 
327,Chelsea Townhouse,Good ,99.00,9.70,Chelsea 
328,Studio Apartment In Heart Of Chelsea,Fabulous ,212.00,8.80,Chelsea 
329,The Broome,Very good ,602.00,8.40,SoHo 
330,ModernHaus SoHo,Exceptional ,9.00,7.80,SoHo 
331,Crosby Street Hotel,Superb 9.0,3 external  ,1.00,SoHo 
332,Top Notch 2 Bedroom Minutes From Central Park,Fabulous ,165.00,9.00,Upper East Side 
333,Truss Hotel Times Square,Very good ,52.00,7.00,Hell's Kitchen 
334,"The Ritz-Carlton New York, Central Park",Good ,146.00,,Manhattan 
335,102-1A Best Value 2BR Apt Near Central Park,Superb 9.0,3 external  ,,East Harlem 
336,Kasa Lantern Lower East Side,Exceptional 10,14 external  ,,Lower East Side 
337,Gramercy Corporte Suites,Superb 9.0,13 external  ,,Kips Bay 
338,The St. Regis New York,Superb 9.0,14 external  ,,Midtown East 
339,Penthouse Hell's Kitchen,Review score ,1 review,,Hell's Kitchen 
340,Private room in Harlem,Superb ,3.00,,Harlem 
341,39-3 Newly renovated 3 BR Prime midtown sleeps 6,Superb 9.0,7 external  ,,Hell's Kitchen 
342,The Harlem Cascades,Superb 9.0,4 external  ,,Harlem 
343,Sonder Flatiron,Good ,1 review,,NoMad 
344,Sonder Duane Street,,,,Tribeca 
345,Central Harlem Oasis- LED House,,,,Harlem 
346,Harlem 2BR Basement 3min to Subway,,,,Harlem 
347,Hotel Giraffe by Library Hotel Collection,,,,NoMad 
348,Lombardy Hotel,,,,Midtown East 
349,Exotic Studio Apartment At Upper East Side,,,,Upper East Side 
350,East Village 2br w wd nr Union Sq NYC-939,,,,East Village 
351,UES 1BR w Gym Doorman WD nr Carl Schurz Park NYC-648,,,,Upper East Side 
352,UES 1BR w DM Elevator Gym Coworking Spaces NYC-589,,,,Upper East Side 
353,FiDi 1BR w WD Gym nr World Trade Center NYC-540,,,,Wall Street - Financial District 
354,UES 2BR w Gym Doorman Balcony Stunning Roof NYC-502,,,,Upper East Side 
355,Exclusive 2BR Apartment At Columbus Circle,,,,Manhattan 
356,Save on 2Day or more Stays 25min to Times Sq,,,,Harlem 
