,Hotel_Name,Review,Total_Review,Rating,Location
442,FiDi studio w gym doorman wd nr Wall St NYC-982,,,,Wall Street - Financial District 
443,Kips Bay 2BR w Doorman Gym Bike Storage NYC-815,,,,Kips Bay 
444,Untitled at 3 Freeman Alley,,,,Lower East Side 
445,Wall St 1BR wSpeakeasy Doorman Gym NYC-225,,,,Wall Street - Financial District 
446,East Village 1br w wd nr cafes NYC-1115,,,,East Village 
447,3BR Greenwich Condo Ikebana by RoveTravel,,,,Greenwich Village 
448,UES 1BR w Gym Playroom Roof nr Hospital NYC-376,,,,Upper East Side 
449,Elegant East Side,,,,Upper East Side 
450,Exotic 2 Bedroom At Upper West Side,,,,Upper West Side 
451,UES 1BR w Doorman Elevator Gym Pool NYC-808,,,,East Harlem 
452,Kips Bay 1br w gym doorman nr Murray Hill NYC-1062,,,,Kips Bay 
453,Kips Bay 2br w wd doorman roof nr Bellevue NYC-1058,,,,Kips Bay 
454,Kips Bay 2br w wd doorman roof nr Bellevue NYC-1057,,,,Kips Bay 
455,Murray Hill studio w elevator gym doorman NYC-991,,,,Murray Hill 
456,Midtown East 3BR w Doorman Gym nr Bloomingdales NYC-915,,,,Midtown East 
457,Murray Hill Studio w DM elevator lounge gym NYC-913,,,,Murray Hill 
458,Midtown East 1BR w DM nr UN NYC-906,,,,Midtown East 
459,UWS 2BR w WD nr Central Park NYC-896,,,,Upper West Side 
460,Luxe E Village 2BR w WD nr TJ NYC-855,,,,East Village 
461,UWS 1BR w Gym Doorman nr Julliard NYC-833,,,,Upper West Side 
462,Kips Bay 2BR w Doorman Gym Bike Storage NYC-817,,,,Kips Bay 
463,Midtown E 3BR w Elevator Doorman nr UN NYC-814,,,,Midtown East 
464,Murray Hill Studio w Elevator Gym DM nr GCT NYC-792,,,,Murray Hill 
465,Midtown 2BR Duplex w Doorman Gym nr Mad Sq NYC-774,,,,Manhattan 
466,LIC 2BR w WD Elevator Doorman nr E River NYC-766,,,,New York
467,Midtown 1BR w Doorman Gym nr Times Sq NYC-697,,,,Manhattan 
468,LIC 2BR w Doorman Gym Pool nr E River NYC-689,,,,New York
469,UWS 1BR w Doorman Terrace nr Central Park NYC-615,,,,Upper West Side 
470,Murray Hill 1BR w Doorman Gym Pool River Views NYC-590,,,,Murray Hill 
471,Murray Hill 1br w Doorman Gym Pool NYC-580,,,,Murray Hill 
472,Midtown E Studio w WD nr Central Park NYC-530,,,,Midtown East 
473,Chelsea 1BR w Gym nr Penn Station MSG NYC-528,,,,Hell's Kitchen 
474,Hells Kitchen 2BR w Doorman nr Central Park NYC-522,,,,Hell's Kitchen 
475,Corner 1BR in W Village w Doorman NYC-157,,,,Greenwich Village 
476,Spacious 3BR 2BA Apartment In Soho,,,,Tribeca 
477,Two BD Two BA At Upper East Side,,,,Upper East Side 
478,Modified Two Bedroom Apartment At Columbus Avenue,,,,Upper West Side 
479,Furnished 3BD 2BA At Murray Hill,,,,Manhattan 
480,Two Bedroom Gorgeous Apartment At Upper west Side,,,,Upper West Side 
481,Stunning View Of Central Park,,,,Hell's Kitchen 
482,Stunning Penthouse in Chelsea,,,,Chelsea 
483,Murray Hill 2br w gym lounge nr East River NYC-944,,,,Murray Hill 
484,UWS 3br w elevator doorman gym nr Central Park NYC-1002,,,,Upper West Side 
485,Absolutely new 3BD/2BA in Downtown NYC,,,,Wall Street - Financial District 
486,Large 3 bedroom 2 Blocks from Times Square,,,,Hell's Kitchen 
487,New 2Bd/2Ba+Office in Manhattan,,,,Wall Street - Financial District 
488,Stylish 2BR with a Dedicated Workspace,,,,Harlem 
489,2 BD/1.5 BA apart w W/D in unit by Boomerang,,,,Wall Street - Financial District 
490,Freshly renovated 2BD/1.5BA apartment in Downtown,,,,Wall Street - Financial District 
491,Beautiful 3 BD/1 BA apartment in NoMad NYC,,,,NoMad 
492,NYC Duplex & Private garden Oasis!!,,,,Upper West Side 
493,Exotic 2BR At Midtown West,,,,Hell's Kitchen 
494,One Bedroom Apartment At Columbus Circle,,,,Manhattan 
495,Exotic 1BR Apartment At Columbus Circle,,,,Manhattan 
496,East Village 2br w wd nr Union Sq NYC-937,,,,East Village 
497,Midtown E 2BR w Balcony Gym Doorman NYC-40,,,,Murray Hill 
498,Hells Kitchen 2BR w Pool DM nr Central Park NYC-469,,,,Hell's Kitchen 
499,317-1A New Modern 1BR W&D Walk to Central Park,,,,Upper East Side 
500,Gramercy Park 2br w wd balcony nr 6 train NYC-947,,,,Gramercy 
501,Tribeca Studio Indoor pool Great views NYC-185,,,,Tribeca 
502,Central Chelsea Studio w Balcony Doorman NYC-34,,,,Chelsea 
503,Unique 2BR Near Times Square,,,,Hell's Kitchen 
504,Studio in Upper Manhattan Great Monthly Deal,,,,Harlem 
505,The Chelsea Escape,,,,Chelsea 
506,Posh 4 Bedroom Times Square Penthouse With Private Rooftop,,,,Hell's Kitchen 
507,Oasis II: Central Harlem,,,,Harlem 
508,Outsite Chelsea,,,,Chelsea 
509,Studio In Heart Of Chelsea,,,,Chelsea 
510,Luxurious 3 Beds 2 Baths By Central Park,,,,Upper West Side 
511,Luxurious 2 Beds 2 Baths In Murray Hill,,,,Manhattan 
512,NYC surreal Loft with 6 bedrooms and stunning Balcony in the heart of Manhattan.,,,,Chelsea 
513,317-3D I NEW Modern 1BR W&D Walk to Central Park,,,,Upper East Side 
514,Luxury 2 Beds 2 Baths In Murray Hill,,,,Manhattan 
515,Luxury 3 Beds 2 Baths In Murray Hill,,,,Manhattan 
516,Luxury 2BD 2BA At Upper West Side,,,,Upper West Side 
517,3BD 2BA Modern Apartment In NYC,,,,Manhattan 
518,Excellent 2 BD Apartment At Murray Hill,,,,Manhattan 
519,Fantastic 2BR At Financial District,,,,Wall Street - Financial District 
520,Fantastic 3BR At Financial District,,,,Wall Street - Financial District 
521,3 Bedroom Apartment In Midtown East,,,,Manhattan 
522,2BD 1BA Apartment At Financial District,,,,Wall Street - Financial District 
523,2BD 1BA Apartment At Wall Street,,,,Wall Street - Financial District 
524,Two BD Apartment At Midtown East,,,,Manhattan 
